feature,importance
P_2_latest,544
B_11_latest,472
D_39_latest,347
S_3_avg,299
history_days,288
R_1_latest,261
B_9_latest,252
P_2_delta,248
S_3_latest,241
D_39_max,224
B_11_avg,218
P_2_avg,215
B_11_delta,210
B_11_min,203
D_39_delta,194
P_2_std,191
R_1_avg,187
S_3_min,183
B_9_delta,171
R_1_delta,167
B_9_avg,159
P_2_first,155
P_2_min,154
B_9_min,153
P_2_max,148
D_39_min,146
R_1_max,144
B_9_std,144
S_3_max,144
S_3_delta,143
B_11_range,141
D_39_std,140
B_11_max,135
D_39_avg,134
B_11_std,134
P_2_range,131
B_9_max,127
B_11_first,122
D_39_first,121
D_39_range,114
S_3_missing_pct,110
R_1_min,109
S_3_first,106
R_1_std,103
B_9_range,99
S_3_std,96
R_1_first,94
B_9_first,94
R_1_range,92
S_3_range,73
S_3_missing_count,49
n_statements,38
P_2_missing_pct,17
P_2_missing_count,16
B_9_missing_count,0
D_39_missing_pct,0
D_39_missing_count,0
B_9_missing_pct,0
B_11_missing_count,0
R_1_missing_pct,0
R_1_missing_count,0
B_11_missing_pct,0
